"","ageattest","C3","C10","C25","C50","C75","C90","C97"
"1",49,13.9246046635642,14.5906512674651,15.3152935156515,16.1712676196793,17.2089636474095,18.5102137244352,20.356165670036
"2",50,13.8837576118873,14.5534187421116,15.283176841884,16.1471335628729,17.1957790177226,18.5107702261349,20.3771487167223
"3",51,13.8432853365775,14.5165887876099,15.2515142214453,16.1235589902458,17.1833107888798,18.5122225557996,20.3992665534246
"4",52,13.8033809381935,14.4803640463017,15.2205237023931,16.100789456872,17.1718417936606,18.514893211505,20.4228896416592
"5",53,13.7642152068218,14.4449159210091,15.1903796768688,16.0790079603007,17.1615652823858,18.5189771168308,20.4481966097032
"6",54,13.7259977718008,14.4104616537229,15.1613131168144,16.0584721787973,17.1527748897163,18.5248021455812,20.4755489408271
"7",55,13.6889885201018,14.3772691515458,15.1336081223146,16.0394997871991,17.1458336444494,18.5327725045881,20.5053873882626
"8",56,13.6534513916015,14.345610746332,15.1075541583783,16.0224161366028,17.1411156771353,18.543306777339,20.53817028539
"9",57,13.619647660992,14.3157562632321,15.0834386236069,16.0075457634578,17.138996297695,18.5568266209515,20.5743607734149
"10",58,13.5878257960889,14.2879624756048,15.0615357534826,15.9952004482169,17.1398389937969,18.5737426516818,20.6144114021137
"11",59,13.5580286070893,14.2622726037719,15.0418953958948,15.985450795071,17.1437448769263,18.5941811975169,20.6584655818228
"12",60,13.5301139656281,14.2385375390415,15.0243648598897,15.9781489026102,17.1505762637488,18.6180087656082,20.7063829705612
"13",61,13.5039346753123,14.21660265114,15.0087854026947,15.9731402928977,17.1601884146641,18.6450840372418,20.7580139664881
"14",62,13.4793450773054,14.1963146506123,14.9949994493272,15.970271709441,17.1724380855769,18.6752671815372,20.8132098489925
"15",63,13.4562115017394,14.1775325415567,14.9828620840674,15.9694032438355,17.1871964166167,18.7084336457602,20.8718377414217
"16",64,13.4344696550927,14.1601877967432,14.9723042570206,15.9704751343348,17.2044200044122,18.7445503076677,20.9338634307466
"17",65,13.4140828530504,14.1442406906254,14.9632870829981,15.9734597229825,17.2241001199362,18.7836213858794,20.9992928685587
"18",66,13.3950149235724,14.1296519270739,14.9557720912875,15.9783301019647,17.2462294752035,18.825652941046,21.0681336517474
"19",67,13.3772302712322,14.1163827126791,14.9497213062157,15.9850602085209,17.2708023508888,18.8706530322747,21.1403952000379
"20",68,13.3607661744971,14.1044728484923,14.9451808592504,15.9937133113383,17.2979088740417,18.9187362512131,21.2162125003054
"21",69,13.3458449169295,14.0941621313133,14.9424113356576,16.0045804280593,17.3278830832771,18.9702887149024,21.296042711412
"22",70,13.3327169302215,14.0857212954076,14.9417072527752,16.017989973879,17.3611010524564,19.0257453966755,21.3804032233624
"23",71,13.3216318183762,14.0794207439507,14.9433636513986,16.0342725634053,17.3979436272574,19.0855490389463,21.4698232212143
"24",72,13.3128323575319,14.0755240803453,14.947669091691,16.053753341096,17.4387878927678,19.1501404101015,21.5648319324112
"25",73,13.3063839557135,14.0741042489545,14.9547057632965,16.0765304260782,17.4837564753002,19.2196685340535,21.6656073486716
"26",74,13.3021565098701,14.0750234749758,14.964326862466,16.1024483067917,17.5326852379808,19.2939509293606,21.7719249607567
"27",75,13.3000116120351,14.0781347347886,14.9763750590635,16.1313389203843,17.5853945322285,19.3727854193543,21.8835335371902
"28",76,13.2998126288205,14.0832926150774,14.9906942723862,16.1630346059648,17.6417036860744,19.4559667110685,22.0001750635113
"29",77,13.301427142494,14.0903543973706,15.007129929554,16.1973687863516,17.7014323184125,19.5432858926278,22.1215776150434
"30",78,13.3047459391807,14.0991892384822,15.0255322663684,16.2341828726674,17.7644128442205,19.6345306305734,22.2474079883537
"31",79,13.3096725606782,14.1096730694986,15.0457542391208,16.2733218982016,17.8304826163712,19.729482790875,22.3772925094036
"32",80,13.3161129085378,14.1216834964522,15.067649499232,16.3146303163707,17.8994763273115,19.8279167667114,22.5108397866415
"33",81,13.3239750847124,14.1350996782482,15.0910722614078,16.3579517271088,17.9712254776798,19.9295987004064,22.6476399092596
"34",82,13.3331228539482,14.1497558192872,15.1158290271853,16.4030745556057,18.0454956729006,20.0342190641089,22.787199289911
"35",83,13.3432733815493,14.1653389602896,15.1415724194514,16.4496122836969,18.1218479574616,20.1412436396719,22.9287972120333
"36",84,13.3541151492095,14.181506857002,15.167923333371,16.4971397727169,18.1997943868582,20.2500796834565,23.071646914407
"37",85,13.3653371756418,14.1979172232795,15.1945012635553,16.5452270897742,18.2788365623094,20.3601170700513,23.214935759903
"38",86,13.3766329573816,14.2142320132308,15.2209288775988,16.5934441715472,18.3584702513468,20.470733244232,23.357831519629
"39",87,13.3878703084062,14.2302997036029,15.247026184268,16.6415649112449,18.4383995206626,20.5815247804949,23.4997457229774
"40",88,13.399154155243,14.2462230373227,15.2728832965899,16.6896445710212,18.5186189387823,20.6923973444614,23.6404374903676
"41",89,13.4106084815952,14.2621253425892,15.2986120458156,16.7377593332747,18.5991407997979,20.8032717080144,23.7796818659982
"42",90,13.422359601026,14.2781325842368,15.3243268954058,16.7859862705004,18.6799740944025,20.9140612379921,23.9172452254654
"43",91,13.4345313376984,14.2943698624561,15.3501427563035,16.8344023307311,18.7611254806031,21.0246780296181,24.0529033219536
"44",92,13.4471980272312,14.3109272934945,15.3761536357538,16.8830744969512,18.8426092911144,21.1350916463258,24.1866073887433
"45",93,13.4604030715282,14.3278730593267,15.4024405633097,16.9320639717156,18.9244456378781,21.2453101137468,24.3184239452823
"46",94,13.474188908246,14.3452749344102,15.4290849145819,16.9814325873829,19.0066550944202,21.3553446322067,24.4484315365429
"47",95,13.4885974793286,14.3632005790614,15.4561685431785,17.0312429070729,19.089258792687,21.465209292376,24.5767189050945
"48",96,13.5036574863967,14.3817046488261,15.4837613390269,17.0815478240378,19.1722719682182,21.5749195689169,24.703390386842
"49",97,13.5193456372927,14.4007897005005,15.5118835917556,17.132359088123,19.2556844306434,21.6844880323037,24.8285838280847
"50",98,13.5356243275668,14.420444115147,15.5405424171826,17.1836781199564,19.3394808866526,21.793930642959,24.9524539660828
