ageattest,C3,C10,C25,C50,C75,C90,C97,n
120,24.66415701,27.41008787,31.00303002,36.45958418,43.60277176,51.32040005,60.4672381,1043
121,24.86638063,27.65725412,31.30778987,36.8479197,44.09247654,51.90831587,61.1541407,413
122,25.0697982,27.90662183,31.6156415,37.23975564,44.58538519,52.49895956,61.84311463,198
123,25.27441182,28.15817485,31.92657027,37.63513214,45.08158615,53.09232188,62.53383171,1421
124,25.48022155,28.41189743,32.240564,38.03409274,45.58117285,53.68840639,63.22599858,201
125,25.68722082,28.66779338,32.55764473,38.4366986,46.0842408,54.28728477,63.91958482,560
126,25.89539922,28.9258737,32.87784819,38.84301916,46.59088946,54.88906084,64.61467149,1576
127,26.10474439,29.18614801,33.20120973,39.25312575,47.10122352,55.49384613,65.3113496,540
128,26.31524192,29.44862452,33.5277643,39.66709174,47.61535298,56.10175994,66.0097201,290
129,26.52686759,29.71331236,33.85755541,40.08499834,48.13340056,56.71297279,66.71002502,1688
130,26.73957484,29.98022559,34.19064979,40.50694399,48.65551336,57.32777548,67.41285469,296
131,26.95331001,30.24937821,34.52711917,40.93303249,49.1818477,57.94648966,68.11887447,615
132,27.16801501,30.52078316,34.86703699,41.36337077,49.71256629,58.5694507,68.82877268,1554
133,27.38362746,30.79445143,35.21047694,41.79806828,50.24783878,59.19700732,69.54325587,207
134,27.60009009,31.07037026,35.55747351,42.23721765,50.78785738,59.82951632,70.26294415,245
135,27.81735299,31.34849932,35.90801504,42.68089176,51.33283984,60.46734197,70.98835601,608
136,28.03536403,31.62879311,36.26208436,43.12916393,51.88301358,61.11086117,71.72001757,129
137,28.25406825,31.91120201,36.61966081,43.58210914,52.43861493,61.7604638,72.45846834,40
138,28.47341254,32.19567697,36.9807235,44.0398018,52.9998772,62.41652977,73.20422515,78
